surname	results	source
Биркенгоф	3	Wikipedia Russia
Бирукова	8	Wikipedia Russia
Биянов	1	Wikipedia Russia
Благодаров	9	Wikipedia Russia
Блаке	9	Wikipedia Russia
Блантер	111	Wikipedia Russia
Блатин	1	Wikipedia Russia
Блек	179	Wikipedia Russia
Близниченко	114	Wikipedia Russia
Блиох	22	Wikipedia Russia
Бломквист	103	Wikipedia Russia
Блощинская	1	Wikipedia Russia
Блум	1137	Wikipedia Russia
Бобин	118	Wikipedia Russia
Бобковская	2	Wikipedia Russia
Бобов	471	Wikipedia Russia
Бобриевич	1	Wikipedia Russia
Боганова	3	Wikipedia Russia
Богаткин	26	Wikipedia Russia
Богатко	42	Wikipedia Russia
Богдашевский	28	Wikipedia Russia
Богер	9	Wikipedia Russia
Богина	28	Wikipedia Russia
Богораз-Тан	9	Wikipedia Russia
Богоров	38	Wikipedia Russia
Богославская	17	Wikipedia Russia
Боднарский	29	Wikipedia Russia
Божедонова	1	Wikipedia Russia
Боженова	21	Wikipedia Russia
Божов	3	Wikipedia Russia
Бойницкий	8	Wikipedia Russia
Бокина	13	Wikipedia Russia
Бокун	13	Wikipedia Russia
Болбот	8	Wikipedia Russia
Болиховская	1	Wikipedia Russia
Болов	72	Wikipedia Russia
Болондинский	1	Wikipedia Russia
Болосов	3	Wikipedia Russia
Болотинская	4	Wikipedia Russia
Болтенко	229	Wikipedia Russia
Болтнева	19	Wikipedia Russia
Болховитина	6	Wikipedia Russia
Болшаков	1	Wikipedia Russia
Больбух	2	Wikipedia Russia
Больдт	21	Wikipedia Russia
Большиянов	9	Wikipedia Russia
Большова	87	Wikipedia Russia
Боманн-Ларсен	1	Wikipedia Russia
Бонатти	37	Wikipedia Russia
Бондарик	64	Wikipedia Russia
Бондырев	8	Wikipedia Russia
Бонч-Бруевич	344	Wikipedia Russia
Боотур	32	Wikipedia Russia
Борг	621	Wikipedia Russia
Бордовский	14	Wikipedia Russia
Бордонский	11	Wikipedia Russia
Борец	5819	Wikipedia Russia
Боринская	26	Wikipedia Russia
Борискин	71	Wikipedia Russia
Боркин	1148	Wikipedia Russia
Боровинский	17	Wikipedia Russia
Боровской	2531	Wikipedia Russia
Бородавкин	74	Wikipedia Russia
Бородавко	41	Wikipedia Russia
Бородачев	35	Wikipedia Russia
Бороденков	1	Wikipedia Russia
Боронова	2	Wikipedia Russia
Бортникова	98	Wikipedia Russia
Борукаев	31	Wikipedia Russia
Борухина	1	Wikipedia Russia
Боруцкие	2	Wikipedia Russia
Боруцкий	13	Wikipedia Russia
Бостриков	1	Wikipedia Russia
Ботников	18	Wikipedia Russia
Ботулу	6	Wikipedia Russia
Ботяков	2	Wikipedia Russia
Боч	19	Wikipedia Russia
Бочанов	14	Wikipedia Russia
Бочек	503	Wikipedia Russia
Бошнякович	11	Wikipedia Russia
Бояркин	46	Wikipedia Russia
Бояркина	38	Wikipedia Russia
Боярко	8	Wikipedia Russia
Брайцева	14	Wikipedia Russia
Братцев	39	Wikipedia Russia
Брач	211	Wikipedia Russia
Брачун	18	Wikipedia Russia
Бревнов	26	Wikipedia Russia
Брезгин	9	Wikipedia Russia
Брезгунов	9	Wikipedia Russia
Брейтфус	131	Wikipedia Russia
